max_depth,learning_rate,n_estimators,mean_log_loss,n_folds
1,0.03,200,0.9790523184670342,9
1,0.03,300,0.9795709782176547,9
1,0.1,50,0.9803589118851556,9
2,0.03,100,0.9804640743467543,9
1,0.1,100,0.9812159405814277,9
2,0.03,200,0.9822139077716403,9
3,0.03,100,0.9826810426182218,9
2,0.1,50,0.983035167058309,9
1,0.03,100,0.9852307306395637,9
2,0.03,300,0.9871087736553616,9
3,0.1,50,0.9880430565940009,9
3,0.03,50,0.9884506596459283,9
3,0.03,200,0.9895233710606893,9
1,0.1,200,0.9895782735612657,9
2,0.03,50,0.9898959133360121,9
2,0.1,100,0.9927283790376451,9
3,0.03,300,0.9970926311280992,9
1,0.1,300,0.9975190295113457,9
1,0.03,50,0.9991914365026686,9
3,0.1,100,1.0020302401648626,9
2,0.1,200,1.0103864206208124,9
2,0.1,300,1.0251531667179532,9
3,0.1,200,1.029205858707428,9
3,0.1,300,1.0563474363750882,9
