max_depth,learning_rate,n_estimators,mean_log_loss,n_folds
1,0.03,200,0.9824689030647278,9
1,0.1,50,0.9830740822686089,9
2,0.03,100,0.9831090635723538,9
1,0.03,300,0.9835979474915398,9
1,0.1,100,0.9851177202330695,9
2,0.1,50,0.9851231972376505,9
3,0.03,100,0.9860160019662645,9
2,0.03,200,0.9861459533373514,9
1,0.03,100,0.986320780383216,9
1,0.1,200,0.9883069396018982,9
2,0.03,50,0.9887375831604004,9
3,0.03,50,0.9890243344836764,9
2,0.03,300,0.9898067911465963,9
3,0.1,50,0.99066028992335,9
1,0.1,300,0.9910279644860162,9
2,0.1,100,0.9912354548772176,9
3,0.03,200,0.9920826819207933,9
3,0.03,300,0.9976519809828864,9
3,0.1,100,1.0004906323220994,9
1,0.03,50,1.001211404800415,9
2,0.1,200,1.0013126929601033,9
2,0.1,300,1.0099371472994487,9
3,0.1,200,1.01918359597524,9
3,0.1,300,1.036068810356988,9
