k_factor,home_advantage,carryover,mean_log_loss
20,180,0.75,0.9792912481491162
20,150,0.75,0.9793326381364023
30,180,1.0,0.9793907739014165
20,120,0.75,0.9794051330995904
15,90,0.75,0.979415508643574
30,150,1.0,0.9794223220662285
15,120,0.75,0.9794261105137537
15,60,0.75,0.9794337393571256
15,150,0.75,0.9794756531681745
15,30,0.75,0.9794779043354445
30,120,1.0,0.9794970978027434
20,90,0.75,0.9794971206833176
25,180,0.75,0.9795235778911354
25,90,1.0,0.9795287595927995
25,120,1.0,0.9795384043984932
25,60,1.0,0.9795534480432266
15,180,0.75,0.9795714029717032
25,150,1.0,0.9795955766479385
20,60,0.75,0.979596809030971
30,90,1.0,0.9795987332106711
25,30,1.0,0.979599735151223
25,150,0.75,0.9796868786929722
20,30,0.75,0.9796934933316845
30,60,1.0,0.9797097151914254
25,180,1.0,0.9797142835509268
30,30,1.0,0.9798137266016966
40,180,1.0,0.9798662634302866
25,120,0.75,0.9798677309496886
20,30,1.0,0.9799880354279663
20,60,1.0,0.9800066511051758
25,90,0.75,0.9800509125923167
30,180,0.75,0.9800512331972924
20,90,1.0,0.9800810190013272
40,150,1.0,0.9801429087340026
10,30,0.75,0.9801875695257194
10,60,0.75,0.9801990936711706
20,120,1.0,0.980219847337207
25,60,0.75,0.9802213671331264
10,90,0.75,0.9802633284769878
30,150,0.75,0.9803222688028119
25,30,0.75,0.9803656917761135
10,120,0.75,0.9803835262050394
20,150,1.0,0.9804315549893879
40,120,1.0,0.9804372342856067
10,150,0.75,0.980562426470998
30,120,0.75,0.9805989876590474
20,180,1.0,0.9807226568125977
40,90,1.0,0.980724798178341
10,180,0.75,0.9808015880479984
30,90,0.75,0.9808634737707221
40,60,1.0,0.9809808536798905
30,60,0.75,0.9810969096787665
40,30,1.0,0.9811835014273187
30,30,0.75,0.9812841399986733
15,30,1.0,0.9814679560323584
15,60,1.0,0.981561878662321
40,180,0.75,0.9815806614491963
15,90,1.0,0.9817541996954223
40,150,0.75,0.9820325799194105
15,120,1.0,0.9820490897673673
15,150,1.0,0.9824494670508176
40,120,0.75,0.9824704146604558
40,90,0.75,0.9828705887293034
15,180,1.0,0.9829556850470662
10,180,0.5,0.9832056657049036
40,60,0.75,0.9832106759056359
10,150,0.5,0.983216093471901
10,120,0.5,0.983245518887069
10,90,0.5,0.9832921427725856
15,180,0.5,0.9833398391412539
10,60,0.5,0.9833536173796702
15,150,0.5,0.9834272187284032
10,30,0.5,0.9834272785734876
40,30,0.75,0.9834713950132973
15,120,0.5,0.9835276521904875
15,90,0.5,0.9836358185490087
15,60,0.5,0.9837462089529985
20,180,0.5,0.983778656475759
15,30,0.5,0.9838535616230479
20,150,0.5,0.9839460137452902
20,120,0.5,0.9841187453766219
20,90,0.5,0.984288591582196
25,180,0.5,0.9843917245858508
20,60,0.5,0.9844474424305741
20,30,0.5,0.9845879167986128
25,150,0.5,0.9846347967239883
25,120,0.5,0.9848754638703896
25,90,0.5,0.9851029807418225
30,180,0.5,0.9851080989416788
10,30,1.0,0.9852322032255348
25,60,0.5,0.9853070440021945
10,60,1.0,0.9854177587062922
30,150,0.5,0.9854210231074193
25,30,0.5,0.9854784909603149
30,120,0.5,0.9857242197278284
10,90,1.0,0.9857561812339691
30,90,0.5,0.9860047700364372
10,120,1.0,0.9862486917986557
30,60,0.5,0.9862504546830427
30,30,0.5,0.9864505628296732
40,180,0.5,0.9867028979551739
10,150,1.0,0.9868845724917605
40,150,0.5,0.9871387788435272
40,120,0.5,0.9875520504820151
10,180,1.0,0.987658243100265
40,90,0.5,0.9879260378058647
40,60,0.5,0.9882452329819945
40,30,0.5,0.9884963211915748
