max_depth,learning_rate,n_estimators,mean_log_loss,n_folds
1,0.03,300,0.9788793259196811,9
1,0.03,200,0.979013548956977,9
1,0.1,100,0.9801942573653327,9
2,0.03,100,0.9806975391176012,9
1,0.1,50,0.9808623525831435,9
3,0.03,100,0.981665723853641,9
2,0.03,200,0.9823106858465407,9
2,0.1,50,0.9823579655753242,9
1,0.03,100,0.98524276415507,9
2,0.03,300,0.9862196379237704,9
3,0.1,50,0.9866920643382602,9
3,0.03,50,0.9887470404307047,9
3,0.03,200,0.9888254668977525,9
1,0.1,200,0.9896472692489624,9
2,0.1,100,0.9898027645217048,9
2,0.03,50,0.990419844786326,9
3,0.03,300,0.9949770039982266,9
1,0.1,300,0.9957441290219625,9
1,0.03,50,0.9995409515168932,9
3,0.1,100,1.0022570159700182,9
2,0.1,200,1.0101366109318204,9
2,0.1,300,1.0241737167040508,9
3,0.1,200,1.029957890510559,9
3,0.1,300,1.0523184206750658,9
