model_a,model_b,metric,mean_diff_a_minus_b,ci_lo,ci_hi,significant
xgboost_temperature,xgboost,log_loss,0.0017718730604374716,0.00019306973557032018,0.0033393515210869496,True
xgboost_temperature,xgboost,rps,0.00047858752020014445,5.716879807276887e-05,0.0009020347432069684,True
xgboost_multinomial,xgboost,log_loss,-0.006202918103618118,-0.012753919034944562,0.00021655451176033876,False
xgboost_multinomial,xgboost,rps,-0.00015334030148650313,-0.0012615374399877195,0.0009626258549297708,False
xgboost_isotonic,xgboost,log_loss,0.02861261085318294,-0.00640421985887939,0.09291702582308888,False
xgboost_isotonic,xgboost,rps,0.000567668186707109,-0.0011163989715911034,0.002261206621522979,False
logistic_temperature,logistic_regression,log_loss,0.0013348492013862008,-0.0002735492638602261,0.0029922712515466666,False
logistic_temperature,logistic_regression,rps,0.00033128905335726275,-0.00010382016628083756,0.0007807906436982156,False
logistic_multinomial,logistic_regression,log_loss,-0.0007169895425327089,-0.00527730821909305,0.004239920297337392,False
logistic_multinomial,logistic_regression,rps,-0.00010374734154052397,-0.0011835835998230862,0.0010179019437230703,False
logistic_isotonic,logistic_regression,log_loss,0.08900898149269218,0.0010428248818312497,0.2060088023132725,True
logistic_isotonic,logistic_regression,rps,0.001821438328028761,9.072847437177915e-05,0.0036170178889367564,True
