feature,mean_abs_shap
elo_diff,0.20952725
elo_home_pre,0.044247434
away_form5_shots_for,0.034827657
away_form5_shots_against,0.023736516
home_form10_shots_against,0.021203013
elo_away_pre,0.015128815
home_form5_shots_for,0.0133200195
away_awayform5_shots_against,0.01135461
home_homeform5_corners_against,0.010785855
home_form10_shots_for,0.0100525385
away_form10_goals_for,0.0095021725
home_homeform5_shots_for,0.009193118
home_form5_shots_target_for,0.0089377025
home_homeform5_goals_for,0.0073602134
home_homeform5_goals_against,0.0049397103
away_form10_corners_for,0.0048850924
away_form10_shots_for,0.004786669
home_homeform5_shots_target_for,0.0047409264
home_form5_shots_against,0.004273138
home_homeform5_shots_against,0.0042312453
away_form10_shots_against,0.0041048084
away_awayform5_goals_for,0.003854974
home_form10_shots_target_for,0.003842537
away_form5_corners_against,0.0030150283
rest_days_away,0.0027406719
away_form10_shots_target_against,0.0027012683
home_form5_corners_for,0.002544605
away_awayform5_corners_against,0.0024105406
home_form10_corners_against,0.0023242175
home_form5_corners_against,0.0022974699
rest_days_home,0.0016603732
away_form5_shots_target_for,0.0016116643
home_form10_goals_for,0.0015982827
away_form5_shots_target_against,0.0015384104
away_form5_corners_for,0.001517121
home_form5_shots_target_against,0.0014982126
away_form10_goals_against,0.0014850056
home_form10_corners_for,0.0014771394
away_awayform5_corners_for,0.0011954072
home_form10_n,0.0010549669
away_awayform5_shots_for,0.0009385672
away_awayform5_shots_target_against,0.0009359879
home_form10_shots_target_against,0.0009129294
home_homeform5_corners_for,0.0008439869
away_form10_corners_against,0.0007505996
away_awayform5_shots_target_for,0.0006298123
home_homeform5_n,0.00051951926
away_form5_goals_for,0.0005097216
home_form5_goals_against,0.00045239672
home_homeform5_shots_target_against,0.0004247564
away_form5_goals_against,0.0003650899
home_form10_goals_against,0.00020424977
away_form10_shots_target_for,0.00012890901
home_form5_n,7.9179685e-05
home_form5_goals_for,0.0
away_form5_n,0.0
away_form10_n,0.0
away_awayform5_goals_against,0.0
away_awayform5_n,0.0
